dep,score,fp,fn
10,0.010055478502080445,57,1
13,0.0,0,0
17,0.0045571626708936,15,8
18,0.004545454545454545,6,8
26,0.013195004029008865,85,46
29,0.018873994638069706,31,145
30,0.00272,12,5
33,0.0077323211022072265,37,18
37,0.00825159582749494,47,6
38,0.025099351600083666,193,167
41,0.0030425963488843813,26,1
42,0.04396064475612309,27,183
45,0.00679788961038961,56,11
47,0.014042995839112345,48,33
49,0.00701508242721852,28,12
50,0.00706547338671691,47,13
57,0.0100967007963595,50,21
58,0.014147018030513176,15,36
59,0.005686546463245492,36,5
62,0.003708040593286495,7,12
68,0.020977808599167824,82,39
69,0.023854069223573433,51,51
75,0.021253286590709904,34,63
76,0.00573260785075787,39,20
77,0.0074549237170596395,41,2
78,0.007750540735400144,43,0
82,0.018778601862079847,94,25
83,0.0023726016092428305,2,21
84,0.0063043752364140716,20,30
86,0.011541235874008175,30,66
89,0.008761543926118873,26,11
91,0.00785945446139621,20,14
92,0.0077951002227171495,7,14
